anuncio/propriedade,tipo,freguesia,concelho,distrito,area(m²),valor renda(€/mes)
"Apartamento T3 totalmente remodelado, para arrendamento no Lumiar.",Apartamento,Desconhecido,Lumiar,Lisboa,105.0,1650
Arrendamento T3 em Santa Marta do Pinhal,Apartamento,Corroios,Seixal,Setúbal,104.0,1250
Apartamento T1 para arrendamento,Apartamento,Desconhecido,São Vicente,Lisboa,62.73,1600
Apartamento T2 com garagem em zona da Lousã,Apartamento,Lousã e Vilarinho,Lousã,Coimbra,80.0,650
Arrendar Escritório Lisboa | 185 m2 | Edifício Primo Lisboa,Escritório,Desconhecido,Avenidas Novas,Lisboa,185.0,3422
Apartamento T1 para arrendamento,Apartamento,Cedofeita,Santo Ildefonso,"Sé, Miragaia, São Nicolau e Vitória, Porto",74.0,800
Apartamento T2+1 | Arrendamento | Renovado | Av. França | Garagem | Me,Apartamento,Cedofeita,Santo Ildefonso,"Sé, Miragaia, São Nicolau e Vitória, Porto",107.0,1800
"Casa T1 mobilado, Junto ao Rio Douro, Marina de Caldas de Aregos",Apartamento,Anreade e São Romão de Aregos,Resende,Viseu,34.0,600
Loja  para arrendamento,Loja,Póvoa de Santa Iria e Forte da Casa,Vila Franca de Xira,Lisboa,760.0,3900
T1+1 Totalmente Renovado com terraço,Apartamento,Desconhecido,Beato,Lisboa,54.0,1350
Apartamento T3 Duplex na Cooperativa Arquitetos em Aldoar,Apartamento,Aldoar,Foz do Douro e Nevogilde,Porto,149.0,1575
Apartamento T1 para arrendamento,Apartamento,Desconhecido,Areeiro,Lisboa,65.85,1700
T1 renovado no Alto da Pampilheira para arrendamento,Apartamento,Cascais e Estoril,Cascais,Lisboa,45.0,1500
Excelente Escritório em Brito Capelo - Matosinhos,Escritório,Matosinhos e Leça da Palmeira,Matosinhos,Porto,82.0,1000
T2 Prq dos Principes - Arrendamento,Apartamento,Desconhecido,Lumiar,Lisboa,108.0,1700
Apartamento T2  para arrendamento,Apartamento,São Martinho,Funchal,Ilha da Madeira,125.0,1500
Apartamento T2 | Telheiras Centro,Apartamento,Desconhecido,Lumiar,Lisboa,77.0,1500
"Armazém de 998 m2 na Maia, próximo Aeroporto do Porto",Armazém,Milheirós,Maia,Porto,998.0,6000
"Apartamento T3, quarto andar, Av. Dr. Lourenço Peixinho, Aveiro",Apartamento,Desconhecido,Glória e Vera Cruz,Aveiro,87.17,1350
Transpasse,Loja,Albufeira e Olhos de Água,Albufeira,Faro,160.0,18000
Arrendamento de curta e ou média duração,Apartamento,Costa da Caparica,Almada,Setúbal,55.0,850
Armazém próximo do IC2 (300 m2 entre Batalha - Leiria),Loja,Golpilheira,Batalha,Leiria,300.0,490
Armazém para arrendar na Azambuja,Armazém,Desconhecido,Azambuja,Lisboa,2500.0,30000
Loja Avenidas Novas,Loja,Desconhecido,Avenidas Novas,Lisboa,2609.0,38130
Armazém para arrendar em Évora,Armazém,Desconhecido,Malagueira e Horta das Figueiras,Évora,800.0,5000
Armazém Industrial,Armazém,Porto de Mós - São João Baptista e São Pedro,Porto de Mós,Leiria,980.0,3500
Arrendo moradia independente,Moradia,Oliveira do Douro,Vila Nova de Gaia,Porto,130.0,850
Apartamento em Buarcos,Apartamento,Buarcos e São Julião,Figueira da Foz,Coimbra,65.0,640
Armazém para arrendar em Évora,Armazém,Desconhecido,Malagueira e Horta das Figueiras,Évora,800.0,4500
Armazém para arrendar na Azambuja,Armazém,Desconhecido,Azambuja,Lisboa,2500.0,30000
"Armazém para arrendar em Lisboa, Arroios",Armazém,Desconhecido,Arroios,Lisboa,1100.0,13000
T2+1 na Povoa de Varzim para professores -Junto às Escolas,Apartamento,Póvoa de Varzim,Beiriz e Argivai,"Povoa de Varzim, Porto",100.0,600
Loja com 100 metros,Escritório,São Gonçalo,Funchal,Ilha da Madeira,100.0,590
"Loja para arrendamento junto à EN125, 5km de Faro",Escritório,Desconhecido,Faro (Sé e São Pedro),Faro,100.0,750
Centro Maia,Apartamento,Cidade da Maia,Maia,Porto,65.0,750
**Loja 670M2 – Centro da Cidade**,Loja,Leiria,Pousos,"Barreira e Cortes, Leiria",114.0,4500
Alugo t2 na zona do Porto,Apartamento,Pedrouços,Maia,Porto,40.0,800
Escritório para arrendar em Pombal,Escritório,Desconhecido,Pombal,Leiria,65.0,450
Escritório para arrendar em Queluz de Baixo - Barcarena,Escritório,Barcarena,Oeiras,Lisboa,200.0,1600
"Loja para arrendar em Lisboa, ao Rego",Loja,Desconhecido,Avenidas Novas,Lisboa,150.0,1500
Escritório para arrendar em Queluz de Baixo - Barcarena,Escritório,Barcarena,Oeiras,Lisboa,125.0,1000
Armazém próximo do IC2 (300 m2 entre Batalha - Leiria),Loja,Golpilheira,Batalha,Leiria,300.0,490
Arrendo Casa em Fafe,Moradia,Quinchães,Fafe,Braga,300.0,550
Loja Comercio Moscavide,Escritório,Desconhecido,Olivais,Lisboa,12.0,400
"CAFETARIA, COM JOGOS SANTA CASA, V.N.GAIA",Loja,Mafamude e Vilar do Paraíso,Vila Nova de Gaia,Porto,60.0,115000
Lisboa / Arroios Loja para Arrendar  Rua Morais Soares,Loja,Desconhecido,Penha de França,Lisboa,270.0,5000
Excelente armazém moderno com dois cais de carga (Disponí...,Armazém,Póvoa de Santa Iria e Forte da Casa,Vila Franca de Xira,Lisboa,2586.0,14223
"Cave, Aveiro, Bairro do Liceu, centro de explicações",Escritório,Desconhecido,Glória e Vera Cruz,Aveiro,25.0,300
"TABACARIA COM JOGOS SANTA CASA, BRAGA",Loja,Braga (Maximinos,Sé e Cividade),Braga,50.0,180000
Armazém Matinha,Armazém,Desconhecido,Marvila,Lisboa,2631.0,14460
Arrenda-se Armazém  na Jardia Montijo-.-Pé direito--8 m---N-126,Armazém,Montijo e Afonsoeiro,Montijo,Setúbal,300.0,1100
"Apartamento tipo T3, para arrendar.",Apartamento,Desconhecido,São Victor,Braga,150.0,800
Trespasse Escritório Foz (Novo),Escritório,Aldoar,Foz do Douro e Nevogilde,Porto,60.0,25000
"TABACARIA com jogos Santa Casa, Stº TIRSO",Loja,Santo Tirso,Couto (Santa Cristina e São Miguel) e Burgães,"Santo Tirso, Porto",50.0,290000
Casinha t2 para alugar,Moradia,Lamego (Almacave e Sé),Lamego,Viseu,70.0,350
"T0 mobiliado e equipado em Paço d'arcos, Oeiras",Apartamento,Oeiras e São Julião da Barra,Paço de Arcos e Caxias,"Oeiras, Lisboa",50.0,800
Armazem/Loja com 280m2,Loja,Vilarinho,Santo Tirso,Porto,280.0,550
Loja/Escritório centro da Costa da Caparica,Escritório,Costa da Caparica,Almada,Setúbal,34.0,975
T3 em Telheiras,Apartamento,Desconhecido,Lumiar,Lisboa,120.0,2100
Loja Avenidas Novas,Loja,Desconhecido,Avenidas Novas,Lisboa,2609.0,38130
Arrendamento de curta e ou média duração,Apartamento,Costa da Caparica,Almada,Setúbal,55.0,850
T2 mobiliado no centro de Macedo,Apartamento,Desconhecido,Macedo de Cavaleiros,Bragança,70.0,330
T1 Férias Edifício Panoramic parque das nações/ curta duração,Apartamento,Desconhecido,Parque das Nações,Lisboa,70.0,1500
"Apartamento equipado, muito perto dos transportes, em Cacilhas.",Apartamento,Almada,Cova da Piedade,"Pragal e Cacilhas, Almada, Setúbal",60.0,1100
Apartamento T3 Carnaxide,Apartamento,Carnaxide e Queijas,Oeiras,Lisboa,120.0,1250
Escritório Matosinhos Centro,Escritório,Matosinhos e Leça da Palmeira,Matosinhos,Porto,298.0,4470
Apartamento T2 para arrendamento,Apartamento,Carcavelos e Parede,Cascais,Lisboa,69.5,800
"Apartamento T2 novo com terraço privado no Cond. Rouxinóis, Esposende",Apartamento,Esposende,Marinhas e Gandra,"Esposende, Braga",70.0,1100
Arrendamento / Apartamento T3 / Terraço / Bombarral,Apartamento,Bombarral e Vale Covo,Bombarral,Leiria,170.0,1100
T3 pronto habitar no Aviz - Porto,Apartamento,Aldoar,Foz do Douro e Nevogilde,Porto,114.0,1700
T4 | Av. Defensores de Chaves,Apartamento,Desconhecido,Avenidas Novas,Lisboa,100.0,1500
Apartamento T2 para arrendamento,Apartamento,Sé,Funchal,Ilha da Madeira,60.0,1350
Apartment in Benfica,Apartamento,Desconhecido,Benfica,Lisboa,97.0,2150
Apartamento T3 em São João,Apartamento,São Pedro,Funchal,Ilha da Madeira,100.0,1400
T1  Flat  Apartamento  Campo Valongo Gandra junto Cespu,Apartamento,Gandra,Paredes,Porto,65.0,650
"Arremda-se T0, canal de S. Roque junto ao Rossio em Aveiro",Apartamento,Desconhecido,Glória e Vera Cruz,Aveiro,45.0,750
Excelente loja em Lisboa para arrendamento .,Loja,Desconhecido,Penha de França,Lisboa,24.0,700
Apartamento T2 para arrendamento no centro de Caneças,Apartamento,Ramada e Caneças,Odivelas,Lisboa,62.0,850
T1 KIT Paranhos - Polo Univ. Igreja / Metro,Apartamento,Desconhecido,Paranhos,Porto,55.0,625
Apartamento T1 em Lordelo do Ouro,Apartamento,Desconhecido,Lordelo do Ouro e Massarelos,Porto,50.0,950
Escritórios c/ garagem – Z. I. Taboeira,Escritório,Desconhecido,Esgueira,Aveiro,250.0,2250
Apartamentos T0 - totalmente equipados - Centro Braga,Apartamento,Braga (Maximinos,Sé e Cividade),Braga,30.0,750
Apartamento T2 Centro Sever do Vouga,Apartamento,Desconhecido,Sever do Vouga,Aveiro,100.0,129000
Arrenda-se T3 em Caramos-Felgueiras,Apartamento,Airães,Felgueiras,Porto,100.0,550
Apartamento T2 para arrendamento,Apartamento,Desconhecido,Pombal,Leiria,86.0,600
Apartamento T1 em Caselas,Apartamento,Desconhecido,Belém,Lisboa,30.0,1000
Andar moradia t3 mobilado na Rua do Lidador em Aldoar com jardim e box,Apartamento,Aldoar,Foz do Douro e Nevogilde,Porto,120.0,1800
Cafetaria e Minimercado,Loja,Desconhecido,Parque das Nações,Lisboa,100.0,15500
Arrumos fechados,Armazém,Desconhecido,Bonfim,Porto,1.5,42
"Escritório Virtual, sede/domiciliação fiscal de empresas/particulares",Escritório,Matosinhos e Leça da Palmeira,Matosinhos,Porto,21.0,45
Loja  para arrendamento,Loja,Póvoa de Santa Iria e Forte da Casa,Vila Franca de Xira,Lisboa,760.0,3900
"Quintinha de Charme para arrendar com Moradia T4,  jardim e piscina  .",Moradia,Cascais e Estoril,Cascais,Lisboa,332.0,9500
Arrendamento de T2 – Zona do Tribunal e Parque Municipal – Montijo,Apartamento,Montijo e Afonsoeiro,Montijo,Setúbal,73.0,850
"Arrendamento TOP! Apartamento 4 quartos, 171m2 área, varanda, cozinha",Apartamento,Desconhecido,São Domingos de Benfica,Lisboa,171.0,3900
Arrenda-se Excelente T3 Mobillado ao Palacio de Cristal,Apartamento,Desconhecido,Lordelo do Ouro e Massarelos,Porto,116.0,1600
Moradia T3 para arrendamento,Moradia,Charneca de Caparica e Sobreda,Almada,Setúbal,179.0,1650
Estúdio Totalmente Renovado na Urbanização Padrão da Légua,Apartamento,Custóias,Leça do Balio e Guifões,"Matosinhos, Porto",40.0,500
"Apartamento T1 em Lisboa de 76,00 m2",Apartamento,Turcifal,Torres Vedras,Lisboa,76.0,1200
T2 com terraço na Pontinha,Apartamento,Pontinha e Famões,Odivelas,Lisboa,90.0,1200
T2+1 Centro Vagos,Apartamento,Vagos e Santo António,Vagos,Aveiro,83.0,650
Clinica/Centro de estética,Loja,Desconhecido,Bonfim,Porto,100.0,1550
Apartamento todo Renovado,Apartamento,Pontinha e Famões,Odivelas,Lisboa,60.0,800
"T2 Remodulado como novo, c/ lugar garagem, 1050€",Apartamento,Canelas,Vila Nova de Gaia,Porto,60.0,1050
Apartamento T1 renovado no centro de Lisboa ao lado Hospital c/terraço,Apartamento,Desconhecido,Avenidas Novas,Lisboa,50.0,1200
Arrenda-se T1+1 em Moradia Térrea,Apartamento,Cedofeita,Santo Ildefonso,"Sé, Miragaia, São Nicolau e Vitória, Porto",65.0,700
Apartamento T2+1 localizado na Ponta do Sol,Apartamento,Desconhecido,Ponta do Sol,Ilha da Madeira,100.0,1350
T-2 na Ajuda ao lado do Fórum Madeira,Apartamento,Imaculado Coração Maria,Funchal,Ilha da Madeira,110.0,1350
Loja p/ arrendar c/ 135m² - S. Mamede de Infesta (Amial),Loja,São Mamede de Infesta e Senhora da Hora,Matosinhos,Porto,135.0,750
Alugo casa odivelas,Moradia,Desconhecido,Odivelas,Lisboa,30.0,850
Arrenda-se Apartamento,Apartamento,Sobrado e Bairros,Castelo de Paiva,Aveiro,90.0,500
T0 com ginasio e area de lazer,Apartamento,Desconhecido,Paranhos,Porto,32.0,658
Apartamento T2 totalmente renovado - Ceira,Apartamento,Desconhecido,Santo António dos Olivais,Coimbra,65.0,700
"Moradia em banda T3 +1, com jardins e varanda, Santa Maria da Feira",Moradia,Santa Maria da Feira,Travanca,"Sanfins e Espargo, Santa Maria da Feira, Aveiro",200.0,279000
Apartamento T2 na primeira linha da praia da Vagueira.,Apartamento,Gafanha da Boa Hora,Vagos,Aveiro,91.0,279000
T3 Duplex com Terraço e Jardim Porto Antas,Apartamento,Desconhecido,Campanhã,Porto,131.0,270000
"Apartamento, 81 m², Massamá e Monte Abraão",Apartamento,Massamá e Monte Abraão,Sintra,Lisboa,81.0,270000
Vende-se Moradia para Restauro com Terreno em Águas Santas-Maia,Moradia,Fornelo e Vairão,Vila do Conde,Porto,92.0,260000
Loja R\chão - Quinta da Portela,Loja,Desconhecido,Santo António dos Olivais,Coimbra,80.0,260000
RESTAURANTE / ESPLANADA / CAMPOLIDE / AMOREIRAS,Loja,Desconhecido,Campolide,Lisboa,93.0,255000
Moradia V3 Ilha da Armona,Moradia,Quelfes,Olhão,Faro,102.0,250000
Cedência Restaurante na Frente Ribeirinha,Loja,Setúbal (São Julião,Nossa Senhora da Anunciada e Santa Maria da Graça),Setúbal,300.0,250000
Pastelaria e padaria para trespasse - marginal da Figueira da Foz,Loja,Buarcos e São Julião,Figueira da Foz,Coimbra,310.0,250000
Trespasse Restaurante Vila Nova de Gaia (Cais de Gaia),Loja,Santa Marinha e São Pedro da Afurada,Vila Nova de Gaia,Porto,207.0,245000
T1 em Vialonga com loja de comercio a funcionar,Apartamento,Vialonga,Vila Franca de Xira,Lisboa,120.0,245000
Excelente Apartamento T2 - Hosp S. João / Polo Universitário Asprela,Apartamento,São Mamede de Infesta e Senhora da Hora,Matosinhos,Porto,74.0,230000
"Encantador Apartamento T1 em Quarteira, a Poucos Passos da Praia",Apartamento,Quarteira,Loulé,Faro,72.0,230000
"Padaria / Pastelaria  Arrendamento em Vizela (Santo Adrião),Vizela",Loja,Santa Eulália,Vizela,Braga,526.95,225000
T3 Tapada das Mercês,Apartamento,Algueirão-Mem Martins,Sintra,Lisboa,90.0,220000
Restaurante com alojamento para trespasse - Baguim do Monte,Loja,Baguim do Monte,Gondomar,Porto,500.0,215000
armazem passa-se zona industrial da varziela rua 6,Loja,Fajozes,Vila do Conde,Porto,700.14,200000
Apartamento T3 na rua S. Lourenço ao Hospital Santos Silva,Apartamento,Vilar de Andorinho,Vila Nova de Gaia,Porto,120.0,200000
Escritório no Centro de Campo de Ourique para arrendamento ao dia,Escritório,Desconhecido,Estrela,Lisboa,30.0,50
Sala de Reunião em Riba de Ave,Escritório,Riba de Ave,Vila Nova de Famalicão,Braga,5.0,50
Salas para dinâmicas grupo - Terapeutas - Centro Porto,Escritório,Cedofeita,Santo Ildefonso,"Sé, Miragaia, São Nicolau e Vitória, Porto",11.0,50
"Armazém Industrial 17.000m2 nave única, pé direito 8m.",Armazém,Desconhecido,São Sebastião,Setúbal,17000.0,74120
Armazém para arrendar em setúbal,Armazém,Setúbal (São Julião,Nossa Senhora da Anunciada e Santa Maria da Graça),Setúbal,15795.0,56864
Quinta com 2 moradias mobiladas em Tábua,Moradia,Candosa,Tábua,Coimbra,15000.0,1500
Pavilhão para arrendamento em Águeda,Armazém,Águeda e Borralha,Águeda,Aveiro,15000.0,37500
Armazém  no Porto Alto (Estrada Nacional 10),Armazém,Desconhecido,Benavente,Santarém,14182.0,59000
"Parque Industrial, Ramalhal, Torres Vedras 13.703 m2",Armazém,Ramalhal,Torres Vedras,Lisboa,13703.0,19500
Apartamento T3 (OCUPADO) Quinta do Conde,Apartamento,Quinta do Conde,Sesimbra,Setúbal,108.0,194000
"Apartamento T2, totalmente remodelado - Centro de Corroio",Apartamento,Corroios,Seixal,Setúbal,62.0,192327
Escritório na Batalha,Escritório,Desconhecido,Batalha,Leiria,157.0,190000
Andar moradia T2,Moradia,Custóias,Leça do Balio e Guifões,"Matosinhos, Porto",100.0,180000
"TABACARIA COM JOGOS SANTA CASA, BRAGA",Loja,Braga (Maximinos,Sé e Cividade),Braga,50.0,180000
"TERMINAL DE COZEDURA, COM JOGOS SANTA CASA, BRAGA",Loja,Desconhecido,Braga (São José de São Lázaro e São João do Souto),Braga,60.0,180000
Loja Abelheira,Loja,Desconhecido,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Viana do Castelo,66.36,168000
Apartamento T2 (OCUPADO) Quinta do Conde,Apartamento,Quinta do Conde,Sesimbra,Setúbal,74.0,160000
Trespasse de Restaurante Regional no Centro  Histórico de Viana,Loja,Desconhecido,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Viana do Castelo,130.0,160000
Moradia T1 + 1 - RESERVADA,Moradia,Beduído e Veiros,Estarreja,Aveiro,72.0,154000
T1 Azurem 5 Min a pé da Uminho,Apartamento,Azurém,Guimarães,Braga,60.0,150000
Moradia T4,Moradia,Fundão,Valverde,"Donas, Aldeia de Joanes e Aldeia Nova do Cabo, Fundão, Castelo Branco",240.0,145000
"Vendo Apartamento T.3 - Remodelado com terraço em Gândara, Leiria",Apartamento,Desconhecido,Marrazes e Barosa,Leiria,110.0,144000
Armazem - garagem em santarem,Armazém,Desconhecido,União de Freguesias da cidade de Santarém,Santarém,300.0,140000
Vendo ou alugo loja para restauraçaoo Leça do Balio,Escritório,São Mamede de Infesta e Senhora da Hora,Matosinhos,Porto,120.0,139000
Moradia T2 com escritório + anexo,Moradia,Ribeirinha,Angra do Heroísmo,Ilha Terceira,120.0,139000
Loja Arrendamento - Vila do Conde - Guilhabreu,Loja,Guilhabreu,Vila do Conde,Porto,100.0,390
Loja Arrendamento - Vila do Conde - Guilhabreu,Loja,Guilhabreu,Vila do Conde,Porto,60.0,295
Loja Arrendamento - Vila do Conde - Guilhabreu,Loja,Guilhabreu,Vila do Conde,Porto,40.0,230
Armazém Arrendamento - Trofa,Armazém,Alvarelhos e Guidões,Trofa,Porto,200.0,640
Armazém Arrendamento - Trofa,Armazém,Alvarelhos e Guidões,Trofa,Porto,100.0,390
Armazém Arrendamento - Trofa,Armazém,Alvarelhos e Guidões,Trofa,Porto,60.0,295
Armazém Arrendamento - Trofa,Armazém,Alvarelhos e Guidões,Trofa,Porto,40.0,230
Armazém Arrendamento - Trofa,Armazém,Alvarelhos e Guidões,Trofa,Porto,20.0,160
Armazém Arrendamento - Matosinhos - Leça do Balio,Armazém,Custóias,Leça do Balio e Guifões,"Matosinhos, Porto",250.0,730
Armazém Arrendamento - Matosinhos - Leça do Balio,Armazém,Custóias,Leça do Balio e Guifões,"Matosinhos, Porto",200.0,640
Armazém Arrendamento - Matosinhos - Leça do Balio,Armazém,Custóias,Leça do Balio e Guifões,"Matosinhos, Porto",150.0,520
Arrendamento Armazém - Matosinhos - Perafita,Armazém,Perafita,Lavra e Santa Cruz do Bispo,"Matosinhos, Porto",250.0,730
Armazém Arrendamento - Matosinhos - Perafita,Armazém,Perafita,Lavra e Santa Cruz do Bispo,"Matosinhos, Porto",200.0,640
Armazém Arrendamento - Matosinhos - Leça do Balio,Armazém,Custóias,Leça do Balio e Guifões,"Matosinhos, Porto",20.0,160
Armazém Arrendamento - Matosinhos - Perafita,Armazém,Perafita,Lavra e Santa Cruz do Bispo,"Matosinhos, Porto",300.0,810
Armazém para Arrendamento - Matosinhos - Perafita,Armazém,Perafita,Lavra e Santa Cruz do Bispo,"Matosinhos, Porto",150.0,520
"ARMAZÉM Arrendamento, Maia - São Pedro de Avioso",Armazém,Castêlo da Maia,Maia,Porto,20.0,160
"ARMAZÉM Arrendamento, maia - gemunde",Armazém,Castêlo da Maia,Maia,Porto,200.0,640
Arrendo Loja Vila do Conde Perto da Praia,Loja,Desconhecido,Vila do Conde,Porto,40.0,275
ARMAZÉM Arrendamento vila do conde - Guilhabreu,Armazém,Guilhabreu,Vila do Conde,Porto,40.0,230
"ARMAZÉM Arrendamento, maia - Gemunde",Armazém,Castêlo da Maia,Maia,Porto,300.0,810
"ARMAZÉM Arrendamento, valongo - alfena",Armazém,Alfena,Valongo,Porto,300.0,810
"ARMAZÉM Arrendamento, vila do conde - aveleda",Armazém,Aveleda,Vila do Conde,Porto,60.0,295
"Escritório para Arrendamento no Chiado, em Lisboa, Maravi...",Escritório,Desconhecido,Misericórdia,Lisboa,310.0,7000
Escritório no Amadora Trade Centre com 30m2 - Receção e duas Salas par,Escritório,Águas Livres,Amadora,Lisboa,27.0,600
"Apartamento T1 em Lisboa de 76,00 m2",Apartamento,Turcifal,Torres Vedras,Lisboa,76.0,1200
Moradia T4 Bicuda,Moradia,Cascais e Estoril,Cascais,Lisboa,259.0,4000
Apartamento T2 Arrendar,Apartamento,Tomar (São João Baptista) e Santa Maria dos Olivais,Tomar,Santarém,88.0,800
Apartamento T2+1,Apartamento,Buarcos e São Julião,Figueira da Foz,Coimbra,81.0,800
Apartamento T2 luxo em Lordelo do Ouro,Apartamento,Desconhecido,Lordelo do Ouro e Massarelos,Porto,120.0,2900
"Escritório, 70 m², Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",Escritório,Setúbal (São Julião,Nossa Senhora da Anunciada e Santa Maria da Graça),Setúbal,70.0,850
Apartamento T3 para arrendamento,Apartamento,Desconhecido,Arroios,Lisboa,73.05,2300
Escritório T0 para arrendamento,Escritório,Desconhecido,Carnide,Lisboa,189.65,3000
T4 | Av. Defensores de Chaves,Apartamento,Desconhecido,Avenidas Novas,Lisboa,100.0,1500
Apartamento T2 para arrendamento,Apartamento,Sé,Funchal,Ilha da Madeira,60.0,1350
Loja arrenda-se Alenquer,Escritório,Alenquer (Santo Estêvão e Triana),Alenquer,Lisboa,70.0,450
Apartamento T5 | Arrendamento | Renovado | Boavista | Garagem | Arrumo,Apartamento,Desconhecido,Lordelo do Ouro e Massarelos,Porto,230.0,3000
Apartamento em Buarcos,Apartamento,Buarcos e São Julião,Figueira da Foz,Coimbra,65.0,640
"Apartamento T3, novo, com terraço e garagem no Porto",Apartamento,Desconhecido,Paranhos,Porto,109.05,1800
APARTAMENTO T4 +1 - Palácio da Junqueira - disponível par...,Apartamento,Desconhecido,Alcântara,Lisboa,300.0,6000
Loja Avenidas Novas,Loja,Desconhecido,Avenidas Novas,Lisboa,2609.0,38130
"Apartamento de T2, localizado em Agualva Cacém, a 650 metros da estaçã",Apartamento,Agualva e Mira-Sintra,Sintra,Lisboa,70.0,1000
Alugo t2 na zona do Porto,Apartamento,Pedrouços,Maia,Porto,40.0,800
Apartamento T1Kit novo na Boavista,Apartamento,Desconhecido,Ramalde,Porto,56.0,1500
Armazém para arrendar em Évora,Armazém,Desconhecido,Malagueira e Horta das Figueiras,Évora,800.0,4500
Escritórios privados prontos a utilizar em Lisboa,Escritório,Desconhecido,Areeiro,Lisboa,8.0,275
Escritório para arrendar em Pombal,Escritório,Desconhecido,Pombal,Leiria,65.0,450
Apartamento T3 junto à praia | Paço de Arcos,Apartamento,Oeiras e São Julião da Barra,Paço de Arcos e Caxias,"Oeiras, Lisboa",99.0,1800
Armazém para arrendar na Azambuja,Armazém,Desconhecido,Azambuja,Lisboa,2500.0,30000
Escritórios privados prontos a utilizar em Lisboa,Escritório,Desconhecido,Areeiro,Lisboa,16.0,520
Escritório para arrendar em Queluz de Baixo - Barcarena,Escritório,Barcarena,Oeiras,Lisboa,200.0,1600
"Apartamento T2, Barreiro",Apartamento,Barreiro e Lavradio,Barreiro,Setúbal,62.0,1000
"Loja para arrendar em Lisboa, ao Rego",Loja,Desconhecido,Avenidas Novas,Lisboa,150.0,1500
