anuncio/propriedade,tipo,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
Arrenda-se T1+1 em Moradia Térrea,Apartamento,CEDOFEITA,PORTO,PORTO,65.0,700
Alugo casa odivelas,Moradia,ODIVELAS,ODIVELAS,LISBOA,30.0,850
Arrenda-se Apartamento,Apartamento,SOBRADO,CASTELO DE PAIVA,AVEIRO,90.0,500
T0 com ginasio e area de lazer,Apartamento,PARANHOS,PORTO,PORTO,32.0,658
Apartamento T2 totalmente renovado - Ceira,Apartamento,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,65.0,700
Quinta com 2 moradias mobiladas em Tábua,Moradia,CANDOSA,TABUA,COIMBRA,15000.0,1500
Moradia T4 Bicuda,Moradia,CASCAIS,CASCAIS,LISBOA,259.0,4000
Apartamento T2 Arrendar,Apartamento,TOMAR,TOMAR,SANTAREM,88.0,800
Apartamento T2+1,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,81.0,800
Apartamento T2 luxo em Lordelo do Ouro,Apartamento,LORDELO DO OURO,PORTO,PORTO,120.0,2900
Apartamento T3 para arrendamento,Apartamento,ARROIOS,LISBOA,LISBOA,73.05,2300
Apartamento T5 | Arrendamento | Renovado | Boavista | Garagem | Arrumo,Apartamento,LORDELO DE OURO,LORDELO DE OURO,PORTO,230.0,3000
"Apartamento T3, novo, com terraço e garagem no Porto",Apartamento,PARANHOS,PORTO,PORTO,109.05,1800
APARTAMENTO T4 +1 - Palácio da Junqueira - disponível par...,Apartamento,ALCANTARA,LISBOA,LISBOA,300.0,6000
"Apartamento de T2, localizado em Agualva Cacém, a 650 metros da estaçã",Apartamento,AGUALVA,SINTRA,LISBOA,70.0,1000
Apartamento T1Kit novo na Boavista,Apartamento,RAMALDE,PORTO,PORTO,56.0,1500
Apartamento T3 junto à praia | Paço de Arcos,Apartamento,OEIRAS,OEIRAS,LISBOA,99.0,1800
"Apartamento T2, Barreiro",Apartamento,BARREIRO,BARREIRO,SETUBAL,62.0,1000
Apartamento T3 para arrendamento,Apartamento,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,130.0,1800
Apartamento T2 para arrendamento,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,107.9,3600
Apartamento T2 renovado Ceira,Apartamento,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,65.0,700
Apartamento T0 em Caxias para ARRENDAR,Apartamento,OEIRAS,OEIRAS,LISBOA,22.0,750
Apartamento T2 para arrendamento,Apartamento,SAO DOMINGOS DE RANA,CASCAIS,LISBOA,83.5,1350
Arrendo Apartamento p/ Professores - Escola Damião de Goes- Alenquer,Apartamento,ALENQUER,ALENQUER,LISBOA,90.0,300
"Apartamento T2 em Lisboa de 130,00 m2",Apartamento,RIO DE MOURO,SINTRA,LISBOA,130.0,1300
T3 nos Olivais,Apartamento,OLIVAIS,LISBOA,LISBOA,60.0,1150
T1 em Buracos  arrendamento anual,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,50.0,500
Apartmenento T2 sol e mar,Apartamento,CHARNECA DE CAPARICA,ALMADA,SETUBAL,100.0,1150
"T0 + 1 - Ap. Novo, com 1 garagem, excelente localização!",Apartamento,MAFAMUDE,VILA NOVA DE GAIA,PORTO,42.6,900
"T2 Com Garagem, Arrumos e Varanda em Paranhos no Porto",Apartamento,PARANHOS,PORTO,PORTO,90.0,1350
T2 no Alto de Santo Amaro,Apartamento,ALCANTARA,LISBOA,LISBOA,66.0,1500
T1 Lazarim,Apartamento,CAPARICA,ALMADA,SETUBAL,61.5,980
Arrendamento de Estúdio T0,Apartamento,CAMPANHA,CAMPANHA,PORTO,65.0,850
"Excelente apartamento T3, MOBILADO, a 1,1 km do centro de Braga.",Apartamento,REAL,BRAGA,BRAGA,129.0,1100
"Apartamento T3 c/150m2, Varanda e 2 Lug. Garagem em Francos, Ramalde",Apartamento,RAMALDE,PORTO,PORTO,151.0,1850
Quinta T3 para arrendamento,Moradia,SAO MIGUEL DO SOUTO,SANTA MARIA DA FEIRA,AVEIRO,12000.0,9000
Quinta T1 para arrendamento,Moradia,SAO MIGUEL DO SOUTO,SANTA MARIA DA FEIRA,AVEIRO,12000.0,6000
Apartamento T2 para arrendamento,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,105.0,3900
Moradia T4 para arrendamento,Moradia,SANTA BARBARA DE NEXE,FARO,FARO,244.8,8000
"Apartamento T1, Arrendamento, Bairro da Assunção.",Apartamento,CASCAIS,CASCAIS,LISBOA,62.0,1200
Apartamento T4 Remodelado Campo de Ourique com jardim,Apartamento,CAMPO DE OURIQUE,LISBOA,LISBOA,96.3,3250
"Apartamento T4 em Porto Salvo, Oeiras, mobilado e equipado",Apartamento,PORTO SALVO,OEIRAS,LISBOA,131.0,2200
Fantástico apartamento T4,Apartamento,CARCAVELOS,CASCAIS,LISBOA,145.0,2950
Apartamento T3 para Arrendamento,Apartamento,SAO SEBASTIAO,SAO SEBASTIAO,SETUBAL,111.0,2000
Arrenda-se apartamento T2 mobilado e equipado.,Apartamento,EIRAS,EIRAS,COIMBRA,70.0,700
Moradia Isolada T5 - Quinta do Rosário em Cascais,Moradia,CASCAIS,CASCAIS,LISBOA,380.0,8500
Moradia T4 - Braga Fraião,Moradia,NOGUEIRA,BRAGA,BRAGA,182.0,2000
Apartamento T3 para arrendar em Odivelas,Apartamento,ODIVELAS,ODIVELAS,LISBOA,81.0,1500
"A 800 m da praia, vista mar, varandas, terraço, ultimo piso",Apartamento,CASCAIS,CASCAIS,LISBOA,165.0,2600
T3 Novo - Empreendimento Magnólia City,Apartamento,OLIVEIRA DO DOURO,VILA NOVA DE GAIA,PORTO,148.0,1800
"Apartamento T3, com Sótão, S. Victor- Braga",Apartamento,BRAGA,BRAGA,BRAGA,109.0,1100
Apartamento T3 mobilado e equipado no Freixo,Apartamento,CAMPANHA,CAMPANHA,PORTO,167.5,2100
Arrendamento Apartamento T1 Renovado - Bonfim,Apartamento,CAMPANHA,CAMPANHA,PORTO,45.0,950
"Apartamento T3 todo remodelado, em Paranhos",Apartamento,PARANHOS,PORTO,PORTO,120.0,1600
Moradia T3 nova com piscina e garagem em box na 'Quinta Faro',Moradia,MONTENEGRO,MONTENEGRO,FARO,182.0,6000
Apartamento T1Kit em Campanhã,Apartamento,CAMPANHA,CAMPANHA,PORTO,40.0,1450
Moradia T4 para arrendamento em Alcabideche!,Moradia,ALCABIDECHE,CASCAIS,LISBOA,121.0,2500
"T1 Bairro Alto (Super Central, a 3 minutos a pé da Praça Camões)",Apartamento,MISERICORDIA,LISBOA,LISBOA,50.0,1300
Apartamento T3 de luxo em Matosinhos,Apartamento,MATOSINHOS,MATOSINHOS,PORTO,128.1,2400
Apartamento na Amorosa,Apartamento,CHAFE,CHAFE,VIANA DO CASTELO,90.0,400
Quinta T4 para arrendamento,Moradia,AZEITAO,SETUBAL ,SETUBAL,10190.0,3900
Apartamento T2 para arrendamento,Apartamento,SAO MARTINHO DO PORTO,ALCOBACA,LEIRIA,60.0,650
Apartamento T2 para arrendamento,Apartamento,VIALONGA,VILA FRANCA DE XIRA,LISBOA,60.3,900
Excelente Apartamento T2+2 de Charme remodelado em São Vi...,Apartamento,SAO VICENTE,SAO VICENTE,LISBOA,151.0,1990
T1 Duplex Porto,Apartamento,PARANHOS,PORTO,PORTO,72.0,1300
T0 para arrendar junto estação de comboios da Reboleira,Apartamento,AGUAS LIVRES,AMADORA,LISBOA,34.0,600
Apartamento T1+1 Baixa da Banheira -1ºpiso zona central,Apartamento,BAIXA DA BANHEIRA,MOITA,SETUBAL,51.0,750
T1 à Casa sa Música,Apartamento,CEDOFEITA,PORTO,PORTO,58.0,850
Excelente Apartamento T3 na Boavista,Apartamento,CEDOFEITA,PORTO,PORTO,120.0,1400
"T3 em São Roque, Oliveira de Azeméis",Apartamento,OLIVEIRA DE AZEMEIS,SANTIAGO DE RIBA-UL,AVEIRO,60.0,600
Apartamento T3 para arrendamento,Apartamento,SETUBAL,NOSSA SENHORA DA ANUNCIADA,SETUBAL,104.5,1100
Apartamento T2 para arrendamento,Apartamento,CACEM,SINTRA,LISBOA,65.0,920
São Domingos de Benfica | Apartamento T2 para arrendamento,Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,72.0,1300
Apartamento T2 para arrendamento,Apartamento,CAMPOLIDE,LISBOA,LISBOA,85.0,1800
"Excelente T2, totalmente mobilado, junto a Av Liberdade",Apartamento,SANTO ANTONIO,LISBOA,LISBOA,33.0,1500
"Apartamento T1 remodelado, em Campolide, Lisboa",Apartamento,CAMPOLIDE,LISBOA,LISBOA,50.0,1250
Apartamento T2 com garagem centro histórico de Cascais,Apartamento,CASCAIS,CASCAIS,LISBOA,82.4,2000
APARTAMENTO T3 MOBILIADO NA AVENIDA DA REPÚBLICA COM PISC...,Apartamento,MAFAMUDE,VILA NOVA DE GAIA,PORTO,141.0,1750
"APARTAMENTO T0 NO LARGO DOS LÓIOS - ALIADOS, PORTO",Apartamento,CEDOFEITA,PORTO,PORTO,74.0,1300
"T1 na Rua do Bonjardim, 637",Apartamento,CEDOFEITA,PORTO,PORTO,55.0,1250
Apartamento T8 Rua Silva Carvalho Campo de Ourique,Apartamento,CAMPO DE OURIQUE,LISBOA,LISBOA,132.0,3000
"Moradia T4 isolada, com jardim e piscina, em Mindelo",Moradia,MINDELO,VILA DO CONDE,PORTO,284.0,3500
"Apartamento T3 Renovado p/ arrendamento na Avenida da Liberdade, Braga",Apartamento,BRAGA,BRAGA ,BRAGA,102.0,1200
T1 na Praça da República Mobilado e Equipado,Apartamento,CEDOFEITA,PORTO,PORTO,60.0,1100
Moradia T2 Duplex de luxo à Estação do Metro Carolina Michaelis,Moradia,CEDOFEITA,PORTO,PORTO,160.0,2800
"Apartamento T1 Remodelado e Mobilado em Campo de Ourique, Lisboa",Apartamento,CAMPO DE OURIQUE,LISBOA,LISBOA,45.0,1350
Apartamento duplex t1 totalmente remodelado no centro do Porto,Apartamento,CEDOFEITA,PORTO,PORTO,57.0,1150
Apartamento T3 para arrendamento,Apartamento,TORRES NOVAS,SALVADOR,SANTAREM,145.0,1100
CONSTRUÇÃO DE 2018 - T0 - MOBILADO - PARA ARRENDAMENTO - JUNTO À PRAIA,Apartamento,CANIDELO,VILA NOVA DE GAIA,PORTO,41.0,1200
T1+1 em Cascais - Condomínio c/ piscina,Apartamento,CASCAIS,CASCAIS,LISBOA,110.0,1750
Apartamento T3 Lumiar,Apartamento,SANTA CLARA,LISBOA,LISBOA,127.0,1700
APARTAMENTO T1 EQUIPADO E MOBILADO EM ALFAMA,Apartamento,SAO VICENTE,SAO VICENTE,LISBOA,54.0,1350
T0 Estudio Vista Mar - Golden Clube - Cabanas de Tavira,Apartamento,CONCEICAO,TAVIRA,FARO,35.0,650
Apartamento T0 remodelado centro da cidade APA2990/24,Apartamento,TOMAR,TOMAR,SANTAREM,65.0,500
Casa p aluguer Sátão,Moradia,SATAO,SATAO,VISEU,70.0,350
ALUGA-SE T3+1 Boavista Mobilado,Apartamento,CEDOFEITA,PORTO,PORTO,115.0,2350
Apartamento na Praia de Sta Cruz,Apartamento,SILVEIRA,TORRES VEDRAS,LISBOA,65.0,700
Apartamento T2 para arrendamento,Apartamento,OEIRAS,OEIRAS,LISBOA,71.0,1400
Apartamento T2 para arrendamento,Apartamento,ESTRELA,LISBOA,LISBOA,123.0,1700
Arrendo T1 juntos as escolas ermesinde,Apartamento,ERMESINDE,VALONGO,PORTO,80.0,750
Apartamento T1 Quintã - Guimarães,Apartamento,AZUREM,GUIMARAES,BRAGA,48.0,600
T2 em Canidelo,Apartamento,CANIDELO,VILA NOVA DE GAIA,PORTO,97.0,1750
Apartamento T1 mobilado | Novo | Bairro dos Atores,Apartamento,AREEIRO,LISBOA,LISBOA,60.0,1350
T2 Torre Marinha Central Equipado,Apartamento,SEIXAL,ARRENTELA,SETUBAL,70.0,1200
Apartamento T2 para arrendar no Junqueiro,Apartamento,CARCAVELOS,CASCAIS,LISBOA,68.0,1600
"Moradia T9 sem móveis, localizada na Quinta do Patino - E...",Moradia,ALCABIDECHE,CASCAIS,LISBOA,551.0,38000
"Apartamento T1 mobilado e equipado, à Estação de Campanhã, Bonfim",Apartamento,CAMPANHA,CAMPANHA,PORTO,60.0,800
Apartamento T2+1 mobilado para arrendamento Canidelo,Apartamento,CANIDELO,VILA NOVA DE GAIA,PORTO,150.0,2300
Apartamento T3 para arrendamento,Apartamento,BARCARENA,OEIRAS,LISBOA,121.0,2350
Apartamento T3 para arrendamento,Apartamento,RAMALDE,PORTO,PORTO,134.0,2250
Moradia T5 para arrendamento,Moradia,ALCABIDECHE,CASCAIS,LISBOA,324.0,8500
Apartamento T2 para arrendamento,Apartamento,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,93.0,1200
Apartamento T2 mobilado com 2 lugares de parqueamento,Apartamento,ESTRELA,LISBOA,LISBOA,103.0,2250
Apartamento T3 em Braga,Apartamento,NOGUEIRO,NOGUEIRO,BRAGA,106.29,1900
Apartamento T0 | Telheiras Sul,Apartamento,LUMIAR,LISBOA,LISBOA,34.0,925
"T2 remodelado com cozinha equipada, em Carnide, Lisboa",Apartamento,CARNIDE,LISBOA,LISBOA,83.0,1500
Apartamento T1 para Arrendamento | Com arrecadação e parqueamento |  N,Apartamento,CARNAXIDE,OEIRAS,LISBOA,71.0,1100
Apartamento T2  para Arrendar em Monte Estoril,Apartamento,CASCAIS,CASCAIS,LISBOA,99.0,1950
Apartamento T2 para arrendamento,Apartamento,SEIXAL,ARRENTELA,SETUBAL,103.0,1150
Moradia para arrendar no centro de Cascais,Moradia,CASCAIS,CASCAIS,LISBOA,250.0,8000
"Apartamento T3 totalmente mobilado para arrendamento em Telheiras, em",Apartamento,LUMIAR,LISBOA,LISBOA,149.0,3500
"Apartamento T1 em condomínio privado de luxo, para arrendamento em Leç",Apartamento,MATOSINHOS,MATOSINHOS,PORTO,52.0,1200
"Apartamento T4 arrendar São Vicente, Braga",Apartamento,BRAGA,BRAGA,BRAGA,180.0,1600
Apartamento T2+1 em Condomínio Fechado,Apartamento,CANELAS,VILA NOVA DE GAIA,PORTO,85.0,1100
Apartamento T2 remodelado em Oeiras,Apartamento,OEIRAS,OEIRAS,LISBOA,80.0,1550
Imovel T2 Centro da Cidade Semi Mobilado e Parqueamento,Apartamento,SETUBAL,NOSSA SENHORA DA ANUNCIADA,SETUBAL,82.0,1300
Apartamento T2 para arrendamento,Apartamento,LUMIAR,LISBOA,LISBOA,89.1,1650
Apartamento T2 para arrendamento,Apartamento,LUMIAR,LISBOA,LISBOA,87.08,1600
"Apartamento totalmente remodelado. Em zona privilegiada, Ajuda.",Apartamento,AJUDA,AJUDA,LISBOA,55.0,1500
"Abrunheira. Fantástico apartamento de 2 assoalhadas,condomínio fechado",Apartamento,SINTRA,SINTRA,LISBOA,85.0,810
Apartamento T2 para arrendamento,Apartamento,CAMPANHA,CAMPANHA,PORTO,78.48,1900
Apartamento T3 entre Ourém e Fátima,Apartamento,ATOUGUIA,OUREM,SANTAREM,100.0,500
T2 mobilado e equipado,Moradia,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,45.0,625
Á Avenida da Liberdade,Apartamento,SANTO ANTONIO,LISBOA,LISBOA,80.0,1500
T2 Agualva Cacém,Apartamento,CACEM,SINTRA,LISBOA,73.0,990
Arrendamento  T3 - Centro de  Guimarães,Apartamento,URGEZES,GUIMARAES,BRAGA,172.0,1500
T3 para arrendamento junto as piscinas do Sporting_Barrocas,Apartamento,GLORIA,AVEIRO,AVEIRO,115.0,1000
Apartamento T4 para arrendamento,Apartamento,SACAVEM,LOURES,LISBOA,258.0,3900
T1 - Ocean Terrace,Apartamento,MATOSINHOS,MATOSINHOS,PORTO,56.0,1550
Penthouse com 70 m2 no Parque Europa com opção de ser mobilado,Apartamento,LUMIAR,LISBOA,LISBOA,89.0,1200
"Arrendamento Foz T3 de 119m2, Apartamento T3, Renovado em Porto, Aldoa",Apartamento,ALDOAR,PORTO,PORTO,119.0,2200
"Fabuloso apartamento T3 para arrendamento em Belém (Restelo), com gara",Apartamento,BELEM,LISBOA,LISBOA,114.0,3250
"Apartamento T4+1 na Cruz Quebrada-Dafundo, com vista frontal rio!",Apartamento,ALGES,OEIRAS,LISBOA,220.0,5500
FANTASTICO T3 I  JARDINS DO CAMPO GRANDE 82 I CONDOMINIO  FECHADO I GA,Apartamento,ALVALADE,LISBOA,LISBOA,216.0,4000
Apartamento T4 Vista RIO | Restelo,Apartamento,BELEM,LISBOA,LISBOA,150.0,2900
"T3+1 Frente à praia do Molhe (Foz) - Renovado, mobilado,",Apartamento,ALDOAR,PORTO,PORTO,150.0,2900
T1 em prédio de luxo na Rua Correia Teles com Garagem (Campo de Ouriqu,Apartamento,CAMPO DE OURIQUE,LISBOA,LISBOA,70.0,2500
"Moradia na Rua Guerra Junqueiro, Lordelo do Ouro, Porto",Moradia,LORDELO DO OURO,PORTO,PORTO,240.0,4000
Apartamento T3 Duplex Trofa,Apartamento,BOUGADO,TROFA,PORTO,230.0,1250
Apartamento T4 Duplex em Paranhos,Apartamento,PARANHOS,PORTO,PORTO,123.6,2600
Apartamento T2 junto à Douro Marina para arrendamento,Apartamento,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,63.0,1200
Estúdio inserido em moradia isolada ao lado da universidade de Aveiro,Moradia,ARADAS,ARADAS,AVEIRO,30.0,600
Riad T5 Arrendamento Faro,Moradia,SANTA BARBARA DE NEXE,FARO,FARO,240.0,3000
Apartamento T2 para arrendamento,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,71.0,650
Apartamento T3 + 1 Totalmente Reabilitado,Apartamento,FATIMA,OUREM,SANTAREM,123.3,780
T1 Equipado com Varanda Generosa com Vista desafogada na Charneca C...,Apartamento,CHARNECA DE CAPARICA,ALMADA,SETUBAL,47.0,900
Apartamento T1+1 - S. Mamede de Infesta,Apartamento,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,66.0,850
Moradia T1 para arrendamento,Moradia,CARCAVELOS,CASCAIS,LISBOA,32.0,1300
Apartamento T2+1 mobilado para arrendar em Cascais,Apartamento,CASCAIS,CASCAIS,LISBOA,148.51,3950
Apartamento T3 Com Garagem Dupla na Foz do Douro,Apartamento,ALDOAR,PORTO,PORTO,145.0,1800
T1 Arrendamento Remodelado Lisboa Central,Apartamento,PENHA DE FRANCA,LISBOA,LISBOA,60.0,1000
"Moradia T5 +2, com piscina, na Quinta do Lago, Algarve",Moradia,ALMANCIL,LOULE,FARO,770.17,30000
