anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
Apartamento T3 Duplex na Cooperativa Arquitetos em Aldoar,Apartamento,131216,ALDOAR,PORTO,PORTO,149.0,1575
Apartamento T1 para arrendamento,Apartamento,110655,AREEIRO,LISBOA,LISBOA,65.85,1700
T1 renovado no Alto da Pampilheira para arrendamento,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,45.0,1500
T2 Prq dos Principes - Arrendamento,Apartamento,110618,LUMIAR,LISBOA,LISBOA,108.0,1700
Apartamento T2 | Telheiras Centro,Apartamento,110618,LUMIAR,LISBOA,LISBOA,77.0,1500
"Apartamento T3, quarto andar, Av. Dr. Lourenço Peixinho, Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,87.17,1350
Arrendamento de curta e ou média duração,Apartamento,150303,COSTA DA CAPARICA,ALMADA,SETUBAL,55.0,850
Arrendo moradia independente,Moradia,131712,OLIVEIRA DO DOURO,VILA NOVA DE GAIA,PORTO,130.0,850
Apartamento em Buarcos,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,65.0,640
T2+1 na Povoa de Varzim para professores -Junto às Escolas,Apartamento,131315,POVOA DE VARZIM,POVOA DE VARZIM,PORTO,100.0,600
Centro Maia,Apartamento,130619,CIDADE DA MAIA,MAIA,PORTO,65.0,750
Alugo t2 na zona do Porto,Apartamento,130617,PEDROUCOS,MAIA,PORTO,40.0,800
Arrendo Casa em Fafe,Moradia,30722,QUINCHAES,FAFE,BRAGA,300.0,550
"Apartamento tipo T3, para arrendar.",Apartamento,30349,BRAGA,BRAGA,BRAGA,150.0,800
Casinha t2 para alugar,Moradia,180525,LAMEGO,LAMEGO,VISEU,70.0,350
"T0 mobiliado e equipado em Paço d'arcos, Oeiras",Apartamento,111014,OEIRAS,OEIRAS,LISBOA,50.0,800
T3 em Telheiras,Apartamento,110618,LUMIAR,LISBOA,LISBOA,120.0,2100
T2 mobiliado no centro de Macedo,Apartamento,40520,MACEDO DE CAVALEIROS,MACEDO DE CAVALEIROS,BRAGANCA,70.0,330
T1 Férias Edifício Panoramic parque das nações/ curta duração,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,70.0,1500
"Apartamento equipado, muito perto dos transportes, em Cacilhas.",Apartamento,150312,ALMADA,ALMADA,SETUBAL,60.0,1100
Apartamento T3 Carnaxide,Apartamento,111013,CARNAXIDE,OEIRAS,LISBOA,120.0,1250
Apartamento T2 para arrendamento,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,69.5,800
Arrendamento / Apartamento T3 / Terraço / Bombarral,Apartamento,100506,BOMBARRAL,BOMBARRAL,LEIRIA,170.0,1100
T3 pronto habitar no Aviz - Porto,Apartamento,131216,ALDOAR,PORTO,PORTO,114.0,1700
T4 | Av. Defensores de Chaves,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,100.0,1500
T1  Flat  Apartamento  Campo Valongo Gandra junto Cespu,Apartamento,131011,GANDRA,PAREDES,PORTO,65.0,650
"Arremda-se T0, canal de S. Roque junto ao Rossio em Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,45.0,750
Apartamento T2 para arrendamento no centro de Caneças,Apartamento,111610,RAMADA,ODIVELAS,LISBOA,62.0,850
T1 KIT Paranhos - Polo Univ. Igreja / Metro,Apartamento,131210,PARANHOS,PORTO,PORTO,55.0,625
Apartamento T1 em Lordelo do Ouro,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,50.0,950
Apartamentos T0 - totalmente equipados - Centro Braga,Apartamento,30349,BRAGA,BRAGA,BRAGA,30.0,750
Arrenda-se T3 em Caramos-Felgueiras,Apartamento,130302,AIRAES,FELGUEIRAS,PORTO,100.0,550
Apartamento T2 para arrendamento,Apartamento,101509,POMBAL,POMBAL,LEIRIA,86.0,600
Apartamento T1 em Caselas,Apartamento,110658,BELEM,LISBOA,LISBOA,30.0,1000
"Quintinha de Charme para arrendar com Moradia T4,  jardim e piscina  .",Moradia,110508,CASCAIS,CASCAIS,LISBOA,332.0,9500
"Arrendamento TOP! Apartamento 4 quartos, 171m2 área, varanda, cozinha",Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,171.0,3900
Arrenda-se Excelente T3 Mobillado ao Palacio de Cristal,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,116.0,1600
Moradia T3 para arrendamento,Moradia,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,179.0,1650
"Apartamento T1 em Lisboa de 76,00 m2",Apartamento,111317,TURCIFAL,TORRES VEDRAS,LISBOA,76.0,1200
T2 com terraço na Pontinha,Apartamento,111608,PONTINHA,ODIVELAS,LISBOA,90.0,1200
T2+1 Centro Vagos,Apartamento,11814,VAGOS,VAGOS,AVEIRO,83.0,650
Apartamento todo Renovado,Apartamento,111608,PONTINHA,ODIVELAS,LISBOA,60.0,800
"T2 Remodulado como novo, c/ lugar garagem, 1050€",Apartamento,131703,CANELAS,VILA NOVA DE GAIA,PORTO,60.0,1050
Apartamento T1 renovado no centro de Lisboa ao lado Hospital c/terraço,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,50.0,1200
Arrenda-se T1+1 em Moradia Térrea,Apartamento,131217,CEDOFEITA,PORTO,PORTO,65.0,700
Alugo casa odivelas,Moradia,111603,ODIVELAS,ODIVELAS,LISBOA,30.0,850
Arrenda-se Apartamento,Apartamento,10611,SOBRADO,CASTELO DE PAIVA,AVEIRO,90.0,500
T0 com ginasio e area de lazer,Apartamento,131210,PARANHOS,PORTO,PORTO,32.0,658
Apartamento T2 totalmente renovado - Ceira,Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,65.0,700
Quinta com 2 moradias mobiladas em Tábua,Moradia,61602,CANDOSA,TABUA,COIMBRA,15000.0,1500
Moradia T4 Bicuda,Moradia,110508,CASCAIS,CASCAIS,LISBOA,259.0,4000
Apartamento T2 Arrendar,Apartamento,141821,TOMAR,TOMAR,SANTAREM,88.0,800
Apartamento T2+1,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,81.0,800
Apartamento T2 luxo em Lordelo do Ouro,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,120.0,2900
Apartamento T3 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,73.05,2300
"Apartamento T3, novo, com terraço e garagem no Porto",Apartamento,131210,PARANHOS,PORTO,PORTO,109.05,1800
APARTAMENTO T4 +1 - Palácio da Junqueira - disponível par...,Apartamento,110602,ALCANTARA,LISBOA,LISBOA,300.0,6000
"Apartamento de T2, localizado em Agualva Cacém, a 650 metros da estaçã",Apartamento,111122,AGUALVA,SINTRA,LISBOA,70.0,1000
Apartamento T1Kit novo na Boavista,Apartamento,131211,RAMALDE,PORTO,PORTO,56.0,1500
Apartamento T3 junto à praia | Paço de Arcos,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,99.0,1800
"Apartamento T2, Barreiro",Apartamento,150410,BARREIRO,BARREIRO,SETUBAL,62.0,1000
Apartamento T3 para arrendamento,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,130.0,1800
Apartamento T2 para arrendamento,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,107.9,3600
Apartamento T2 renovado Ceira,Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,65.0,700
Apartamento T0 em Caxias para ARRENDAR,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,22.0,750
Apartamento T2 para arrendamento,Apartamento,110506,SAO DOMINGOS DE RANA,CASCAIS,LISBOA,83.5,1350
Arrendo Apartamento p/ Professores - Escola Damião de Goes- Alenquer,Apartamento,110119,ALENQUER,ALENQUER,LISBOA,90.0,300
"Apartamento T2 em Lisboa de 130,00 m2",Apartamento,111108,RIO DE MOURO,SINTRA,LISBOA,130.0,1300
T3 nos Olivais,Apartamento,110633,OLIVAIS,LISBOA,LISBOA,60.0,1150
T1 em Buracos  arrendamento anual,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,50.0,500
Apartmenento T2 sol e mar,Apartamento,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,100.0,1150
"T0 + 1 - Ap. Novo, com 1 garagem, excelente localização!",Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,42.6,900
"T2 Com Garagem, Arrumos e Varanda em Paranhos no Porto",Apartamento,131210,PARANHOS,PORTO,PORTO,90.0,1350
T2 no Alto de Santo Amaro,Apartamento,110602,ALCANTARA,LISBOA,LISBOA,66.0,1500
T1 Lazarim,Apartamento,150313,CAPARICA,ALMADA,SETUBAL,61.5,980
"Excelente apartamento T3, MOBILADO, a 1,1 km do centro de Braga.",Apartamento,30379,REAL,BRAGA,BRAGA,129.0,1100
"Apartamento T3 c/150m2, Varanda e 2 Lug. Garagem em Francos, Ramalde",Apartamento,131211,RAMALDE,PORTO,PORTO,151.0,1850
Quinta T3 para arrendamento,Moradia,10936,SAO MIGUEL DO SOUTO,SANTA MARIA DA FEIRA,AVEIRO,12000.0,9000
Quinta T1 para arrendamento,Moradia,10936,SAO MIGUEL DO SOUTO,SANTA MARIA DA FEIRA,AVEIRO,12000.0,6000
Apartamento T2 para arrendamento,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,105.0,3900
Moradia T4 para arrendamento,Moradia,80503,SANTA BARBARA DE NEXE,FARO,FARO,244.8,8000
"Apartamento T1, Arrendamento, Bairro da Assunção.",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,62.0,1200
Apartamento T4 Remodelado Campo de Ourique com jardim,Apartamento,110659,CAMPO DE OURIQUE,LISBOA,LISBOA,96.3,3250
"Apartamento T4 em Porto Salvo, Oeiras, mobilado e equipado",Apartamento,111009,PORTO SALVO,OEIRAS,LISBOA,131.0,2200
Fantástico apartamento T4,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,145.0,2950
Moradia Isolada T5 - Quinta do Rosário em Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,380.0,8500
Moradia T4 - Braga Fraião,Moradia,30377,NOGUEIRA,BRAGA,BRAGA,182.0,2000
Apartamento T3 para arrendar em Odivelas,Apartamento,111603,ODIVELAS,ODIVELAS,LISBOA,81.0,1500
"A 800 m da praia, vista mar, varandas, terraço, ultimo piso",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,165.0,2600
T3 Novo - Empreendimento Magnólia City,Apartamento,131712,OLIVEIRA DO DOURO,VILA NOVA DE GAIA,PORTO,148.0,1800
"Apartamento T3, com Sótão, S. Victor- Braga",Apartamento,30349,BRAGA,BRAGA,BRAGA,109.0,1100
"Apartamento T3 todo remodelado, em Paranhos",Apartamento,131210,PARANHOS,PORTO,PORTO,120.0,1600
Moradia T4 para arrendamento em Alcabideche!,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,121.0,2500
"T1 Bairro Alto (Super Central, a 3 minutos a pé da Praça Camões)",Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,50.0,1300
Apartamento T3 de luxo em Matosinhos,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,128.1,2400
Apartamento T2 para arrendamento,Apartamento,100112,SAO MARTINHO DO PORTO,ALCOBACA,LEIRIA,60.0,650
Apartamento T2 para arrendamento,Apartamento,111408,VIALONGA,VILA FRANCA DE XIRA,LISBOA,60.3,900
Excelente Apartamento T2+2 de Charme remodelado em São Vi...,Apartamento,311003,SAO VICENTE,SAO VICENTE,LISBOA,151.0,1990
T1 Duplex Porto,Apartamento,131210,PARANHOS,PORTO,PORTO,72.0,1300
T0 para arrendar junto estação de comboios da Reboleira,Apartamento,111513,AGUAS LIVRES,AMADORA,LISBOA,34.0,600
Apartamento T1+1 Baixa da Banheira -1ºpiso zona central,Apartamento,150607,BAIXA DA BANHEIRA,MOITA,SETUBAL,51.0,750
T1 à Casa sa Música,Apartamento,131217,CEDOFEITA,PORTO,PORTO,58.0,850
Excelente Apartamento T3 na Boavista,Apartamento,131217,CEDOFEITA,PORTO,PORTO,120.0,1400
Apartamento T2 para arrendamento,Apartamento,111124,CACEM,SINTRA,LISBOA,65.0,920
São Domingos de Benfica | Apartamento T2 para arrendamento,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,72.0,1300
Apartamento T2 para arrendamento,Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,85.0,1800
"Excelente T2, totalmente mobilado, junto a Av Liberdade",Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,33.0,1500
"Apartamento T1 remodelado, em Campolide, Lisboa",Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,50.0,1250
Apartamento T2 com garagem centro histórico de Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,82.4,2000
APARTAMENTO T3 MOBILIADO NA AVENIDA DA REPÚBLICA COM PISC...,Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,141.0,1750
"APARTAMENTO T0 NO LARGO DOS LÓIOS - ALIADOS, PORTO",Apartamento,131217,CEDOFEITA,PORTO,PORTO,74.0,1300
"T1 na Rua do Bonjardim, 637",Apartamento,131217,CEDOFEITA,PORTO,PORTO,55.0,1250
Apartamento T8 Rua Silva Carvalho Campo de Ourique,Apartamento,110659,CAMPO DE OURIQUE,LISBOA,LISBOA,132.0,3000
"Moradia T4 isolada, com jardim e piscina, em Mindelo",Moradia,131616,MINDELO,VILA DO CONDE,PORTO,284.0,3500
T1 na Praça da República Mobilado e Equipado,Apartamento,131217,CEDOFEITA,PORTO,PORTO,60.0,1100
Moradia T2 Duplex de luxo à Estação do Metro Carolina Michaelis,Moradia,131217,CEDOFEITA,PORTO,PORTO,160.0,2800
"Apartamento T1 Remodelado e Mobilado em Campo de Ourique, Lisboa",Apartamento,110659,CAMPO DE OURIQUE,LISBOA,LISBOA,45.0,1350
Apartamento duplex t1 totalmente remodelado no centro do Porto,Apartamento,131217,CEDOFEITA,PORTO,PORTO,57.0,1150
CONSTRUÇÃO DE 2018 - T0 - MOBILADO - PARA ARRENDAMENTO - JUNTO À PRAIA,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,41.0,1200
T1+1 em Cascais - Condomínio c/ piscina,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,110.0,1750
Apartamento T3 Lumiar,Apartamento,110664,SANTA CLARA,LISBOA,LISBOA,127.0,1700
APARTAMENTO T1 EQUIPADO E MOBILADO EM ALFAMA,Apartamento,311003,SAO VICENTE,SAO VICENTE,LISBOA,54.0,1350
T0 Estudio Vista Mar - Golden Clube - Cabanas de Tavira,Apartamento,81410,CONCEICAO,TAVIRA,FARO,35.0,650
Apartamento T0 remodelado centro da cidade APA2990/24,Apartamento,141821,TOMAR,TOMAR,SANTAREM,65.0,500
Casa p aluguer Sátão,Moradia,181710,SATAO,SATAO,VISEU,70.0,350
ALUGA-SE T3+1 Boavista Mobilado,Apartamento,131217,CEDOFEITA,PORTO,PORTO,115.0,2350
Apartamento na Praia de Sta Cruz,Apartamento,111316,SILVEIRA,TORRES VEDRAS,LISBOA,65.0,700
Apartamento T2 para arrendamento,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,71.0,1400
Apartamento T2 para arrendamento,Apartamento,110660,ESTRELA,LISBOA,LISBOA,123.0,1700
Arrendo T1 juntos as escolas ermesinde,Apartamento,131503,ERMESINDE,VALONGO,PORTO,80.0,750
Apartamento T1 Quintã - Guimarães,Apartamento,30804,AZUREM,GUIMARAES,BRAGA,48.0,600
T2 em Canidelo,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,97.0,1750
Apartamento T1 mobilado | Novo | Bairro dos Atores,Apartamento,110655,AREEIRO,LISBOA,LISBOA,60.0,1350
Apartamento T2 para arrendar no Junqueiro,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,68.0,1600
"Moradia T9 sem móveis, localizada na Quinta do Patino - E...",Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,551.0,38000
Apartamento T2+1 mobilado para arrendamento Canidelo,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,150.0,2300
Apartamento T3 para arrendamento,Apartamento,111002,BARCARENA,OEIRAS,LISBOA,121.0,2350
Apartamento T3 para arrendamento,Apartamento,131211,RAMALDE,PORTO,PORTO,134.0,2250
Moradia T5 para arrendamento,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,324.0,8500
Apartamento T2 para arrendamento,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,93.0,1200
Apartamento T2 mobilado com 2 lugares de parqueamento,Apartamento,110660,ESTRELA,LISBOA,LISBOA,103.0,2250
Apartamento T0 | Telheiras Sul,Apartamento,110618,LUMIAR,LISBOA,LISBOA,34.0,925
"T2 remodelado com cozinha equipada, em Carnide, Lisboa",Apartamento,110611,CARNIDE,LISBOA,LISBOA,83.0,1500
Apartamento T1 para Arrendamento | Com arrecadação e parqueamento |  N,Apartamento,111013,CARNAXIDE,OEIRAS,LISBOA,71.0,1100
Apartamento T2  para Arrendar em Monte Estoril,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,99.0,1950
Moradia para arrendar no centro de Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,250.0,8000
"Apartamento T3 totalmente mobilado para arrendamento em Telheiras, em",Apartamento,110618,LUMIAR,LISBOA,LISBOA,149.0,3500
"Apartamento T1 em condomínio privado de luxo, para arrendamento em Leç",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,52.0,1200
"Apartamento T4 arrendar São Vicente, Braga",Apartamento,30349,BRAGA,BRAGA,BRAGA,180.0,1600
Apartamento T2+1 em Condomínio Fechado,Apartamento,131703,CANELAS,VILA NOVA DE GAIA,PORTO,85.0,1100
Apartamento T2 remodelado em Oeiras,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,80.0,1550
Apartamento T2 para arrendamento,Apartamento,110618,LUMIAR,LISBOA,LISBOA,89.1,1650
Apartamento T2 para arrendamento,Apartamento,110618,LUMIAR,LISBOA,LISBOA,87.08,1600
"Abrunheira. Fantástico apartamento de 2 assoalhadas,condomínio fechado",Apartamento,111128,SINTRA,SINTRA,LISBOA,85.0,810
Apartamento T3 entre Ourém e Fátima,Apartamento,142102,ATOUGUIA,OUREM,SANTAREM,100.0,500
T2 mobilado e equipado,Moradia,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,45.0,625
Á Avenida da Liberdade,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,80.0,1500
T2 Agualva Cacém,Apartamento,111124,CACEM,SINTRA,LISBOA,73.0,990
Arrendamento  T3 - Centro de  Guimarães,Apartamento,30871,URGEZES,GUIMARAES,BRAGA,172.0,1500
T3 para arrendamento junto as piscinas do Sporting_Barrocas,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,115.0,1000
Apartamento T4 para arrendamento,Apartamento,110727,SACAVEM,LOURES,LISBOA,258.0,3900
T1 - Ocean Terrace,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,56.0,1550
Penthouse com 70 m2 no Parque Europa com opção de ser mobilado,Apartamento,110618,LUMIAR,LISBOA,LISBOA,89.0,1200
"Arrendamento Foz T3 de 119m2, Apartamento T3, Renovado em Porto, Aldoa",Apartamento,131216,ALDOAR,PORTO,PORTO,119.0,2200
"Fabuloso apartamento T3 para arrendamento em Belém (Restelo), com gara",Apartamento,110658,BELEM,LISBOA,LISBOA,114.0,3250
"Apartamento T4+1 na Cruz Quebrada-Dafundo, com vista frontal rio!",Apartamento,111012,ALGES,OEIRAS,LISBOA,220.0,5500
FANTASTICO T3 I  JARDINS DO CAMPO GRANDE 82 I CONDOMINIO  FECHADO I GA,Apartamento,110654,ALVALADE,LISBOA,LISBOA,216.0,4000
Apartamento T4 Vista RIO | Restelo,Apartamento,110658,BELEM,LISBOA,LISBOA,150.0,2900
"T3+1 Frente à praia do Molhe (Foz) - Renovado, mobilado,",Apartamento,131216,ALDOAR,PORTO,PORTO,150.0,2900
T1 em prédio de luxo na Rua Correia Teles com Garagem (Campo de Ouriqu,Apartamento,110659,CAMPO DE OURIQUE,LISBOA,LISBOA,70.0,2500
"Moradia na Rua Guerra Junqueiro, Lordelo do Ouro, Porto",Moradia,131218,LORDELO DO OURO,PORTO,PORTO,240.0,4000
Apartamento T3 Duplex Trofa,Apartamento,131810,BOUGADO,TROFA,PORTO,230.0,1250
Apartamento T4 Duplex em Paranhos,Apartamento,131210,PARANHOS,PORTO,PORTO,123.6,2600
Apartamento T2 junto à Douro Marina para arrendamento,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,63.0,1200
Riad T5 Arrendamento Faro,Moradia,80503,SANTA BARBARA DE NEXE,FARO,FARO,240.0,3000
Apartamento T2 para arrendamento,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,71.0,650
Apartamento T3 + 1 Totalmente Reabilitado,Apartamento,142106,FATIMA,OUREM,SANTAREM,123.3,780
T1 Equipado com Varanda Generosa com Vista desafogada na Charneca C...,Apartamento,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,47.0,900
Apartamento T1+1 - S. Mamede de Infesta,Apartamento,130814,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,66.0,850
Moradia T1 para arrendamento,Moradia,110507,CARCAVELOS,CASCAIS,LISBOA,32.0,1300
Apartamento T2+1 mobilado para arrendar em Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,148.51,3950
Apartamento T3 Com Garagem Dupla na Foz do Douro,Apartamento,131216,ALDOAR,PORTO,PORTO,145.0,1800
T1 Arrendamento Remodelado Lisboa Central,Apartamento,110663,PENHA DE FRANCA,LISBOA,LISBOA,60.0,1000
"Moradia T5 +2, com piscina, na Quinta do Lago, Algarve",Moradia,80801,ALMANCIL,LOULE,FARO,770.17,30000
Apartamento  T2 -  Jardim e Piscina -  Novo empreendimento na Praça do,Apartamento,110655,AREEIRO,LISBOA,LISBOA,77.0,1900
Apartamento T3 todo renovado c/garagem na Av. de Londres em Guimarães,Apartamento,30884,OLIVEIRA,GUIMARAES,BRAGA,130.0,1460
Apartamento T1 - Boavista c/piscina e lugar garagem,Apartamento,131217,CEDOFEITA,PORTO,PORTO,74.0,1400
"Apartamento T2 com terraço e garagem no Lumiar, Lisboa",Apartamento,110618,LUMIAR,LISBOA,LISBOA,117.0,1950
Apartamento T4 Duplex no Centro Histórico de Braga,Apartamento,30349,BRAGA,BRAGA,BRAGA,254.0,6000
"Arrendamento T3, Olaias",Apartamento,110655,AREEIRO,LISBOA,LISBOA,92.0,2100
"Apartamento T3 Arrendamento em Parque das Nações,Lisboa",Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,105.0,2500
Apartamento T3 R/C elevado - Rua Passos Manuel / Arroios,Apartamento,110656,ARROIOS,LISBOA,LISBOA,95.0,1990
T1 Terraço Equipado Mobilado Estação Metro Trindade Despesas Incluídas,Apartamento,131217,CEDOFEITA,PORTO,PORTO,50.0,1200
Apartamento T3 pronto a habitar c/varanda - Urbanização d...,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,126.0,1700
Apartamento T3 para arrendamento,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,105.0,2800
"Apartamento T3 com terraço e box para 3 carros - Canidelo, Gaia",Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,152.0,2000
"Excelente Apartamento T2 na Alapraia, São João Do Estoril",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,55.0,1500
